Frame,Timestamp,PSML_position_x,PSML_position_y,PSML_position_z,PSMR_position_x,PSMR_position_y,PSMR_position_z,PSML_gripper_angle,PSMR_gripper_angle,PSML_velocity_x,PSML_velocity_y,PSML_velocity_z,PSMR_velocity_x,PSMR_velocity_y,PSMR_velocity_z
18,1674856644406.28,-26136.130434782608,-14581.934782608696,77120.15217391304,77911.93478260869,13779.304347826086,-24803.32608695652,1.4754348060323914,1.57000005245,-0.6994989980744618,-6.595314775303905,-0.9357585130209879,0.027475613561198486,-0.034772429990332,-0.5745678059281322
19,1674856644439.61,-26172.43243243244,-15124.972972972972,77044.48648648648,77916.51351351352,13776.783783783783,-24843.18918918919,1.45000004768,1.57000005245,-0.9690356811299193,-11.003122321210029,-1.602985353850113,0.07206535399947887,-0.052167269128119496,-0.9542936031598397
20,1674856644472.94,-26150.25,-15439.75,77018.5,77918.0,13775.25,-24865.0,1.45000004768,1.57000005245,-0.5642607958060464,-12.734620331181906,-1.6758972726670074,0.07269013436017951,-0.06579922098148788,-1.0596172710102716
21,1674856644506.27,-26065.317073170732,-15821.804878048782,77001.39024390244,77917.09756097561,13747.317073170732,-24916.878048780487,1.45000004768,1.5700000524499995,0.7082044015653018,-12.399934942926244,-1.187737193573273,0.05163293483299119,-0.3199040995377321,-1.1356321174528545
22,1674856644539.6,-25887.32,-16498.24,76988.32,77943.38,13615.42,-25064.72,1.45000004768,1.5700000524499995,2.8514044066464503,-13.734034541959646,-0.5617216239990145,0.26869121312607525,-1.6137955474087329,-2.215526065714682
23,1674856644572.93,-25742.285714285717,-17098.928571428572,76998.10714285714,78014.0,13474.107142857143,-25163.67857142857,1.45000004768,1.57000005245,4.08005192345711,-16.593450168767927,-0.20394777129607763,0.9600989325677189,-3.0117330371324242,-2.9870846704762553
24,1674856644606.26,-25626.714285714286,-17493.64285714286,77021.35714285714,78059.07142857142,13355.714285714286,-25239.92857142857,1.45000004768,1.57000005245,4.386466864212803,-16.720056609333174,0.1996892073532319,1.4198825092657004,-3.9164206886717867,-3.230827985729515
25,1674856644639.5898,-25398.07407407408,-18192.296296296296,77096.27777777777,78152.55555555556,13040.814814814818,-25471.14814814815,1.45000004768,1.57000005245,4.892964459430769,-16.942312662326724,1.0796894210319465,2.0919718702906986,-5.7466464652927565,-4.064702610604642
26,1674856644672.9202,-25109.756097560967,-19177.341463414643,77243.87804878049,78388.90243902439,12530.536585365851,-25836.53658536585,1.45000004768,1.5700000524499995,6.325909560773488,-20.78613783903216,2.4579437691886303,3.749380076216173,-9.436612808209953,-6.729227463031788
27,1674856644706.25,-25009.6,-19681.1,77351.1,78555.5,12268.3,-26060.6,1.45000004768,1.57000005245,6.17174853230278,-21.876723750524274,3.297753148013204,4.964772294155288,-10.87520978722384,-8.207522386729533
