PSML_position_x,PSML_position_y,PSML_position_z,PSMR_position_x,PSMR_position_y,PSMR_position_z,PSML_gripper_angle,PSMR_gripper_angle,Trackstar time,True frame #,Frame,Timestamp,PSML_velocity_x,PSML_velocity_y,PSML_velocity_z,PSMR_velocity_x,PSMR_velocity_y,PSMR_velocity_z
272.746,62.45205,-131.6015,370.1915,-136.066,-133.2755,0.10613564509282074,0.1423572473378074,1674859393.5486,4283,3994,1674859393547.6667,0.006134998645095066,0.0033489959082530648,0.006695000012287088,0.0005600013671911871,-0.0016699959106745734,0.003904997265678318
272.858,62.56365,-131.4335,370.359,-135.9545,-133.164,0.1053151850377578,0.14664725601503098,1674859393.5816,4284,3995,1674859393581.0,0.005029995947335123,0.0044649986328691195,0.006139998657303077,0.001675004089365015,-0.0005549931884998926,0.003349995910694592
272.8575,62.78685,-131.378,370.4145,-135.9545,-133.05200000000002,0.10894246657807476,0.14534028438696994,1674859393.6147,4285,3996,1674859393614.3333,0.003344991833556172,0.005022999995177112,0.004464994567937727,0.0022300054443487416,8.166483834150829e-09,0.0039099972778849764
272.858,63.0101,-131.2665,370.4705,-135.9545,-132.941,0.1089739204289878,0.14516779246079278,1674859393.6478,4286,3997,1674859393647.6667,0.0011200026977606864,0.005580497273022467,0.0033500000122467315,0.0027900027099874935,0.0011150027221745462,0.0033450000366608552
272.69,63.28915000000001,-131.322,370.4705,-135.9545,-132.885,0.1104064907634324,0.1459047276318864,1674859393.6809,4287,3998,1674859393681.0,-0.0016800041381937983,0.007255001361167236,0.0011149945556907113,0.0011149986206224274,0.0,0.0027899986816771285
272.411,63.4566,-131.48950000000002,370.4705,-136.0105,-132.941,0.11339444542583965,0.14292757619359595,1674859393.7139,4288,3999,1674859393714.3333,-0.004465010937526886,0.0066975000000798965,-0.0011150108886589342,0.0005599972656387006,-0.0005600013671910883,0.0011099945801048355
272.0205,63.5124,-131.713,370.4705,-135.9545,-132.9405,0.11559246728301445,0.14663910325736776,1674859393.747,4289,4000,1674859393747.6667,-0.00837499184582286,0.005023008176309481,-0.0044649945313164395,0.0,-4.101552620976168e-09,4.999975586284678e-06
271.351,63.73560000000001,-132.2155,370.4705,-135.8985,-133.1085,0.1163942434317252,0.1451477421752694,1674859393.7801,4290,4001,1674859393781.0,-0.013390004089505308,0.004464506812780838,-0.008935005444429047,0.0,0.0005599972656380486,-0.002235005493177247
270.458,63.9031,-132.773,370.582,-135.843,-133.164,0.11257448268535683,0.14810809804980768,1674859393.8132,4291,4002,1674859393814.3333,-0.01953001907977604,0.004465006814001489,-0.012835014965936531,0.0011150027221743456,0.0016749999878130136,-0.0022300054809700196
269.9,64.07050000000001,-133.164,370.6935,-135.731,-133.22,0.11398619422433585,0.15332937798201013,1674859393.8462,4292,4003,1674859393847.6667,-0.021205010901105784,0.005581001364809446,-0.01451000678726571,0.0022299972778647733,0.0022349972534511965,-0.00279500272219471
269.39750000000004,64.1821,-133.499,370.63800000000003,-135.78699999999998,-133.2755,0.11397027357975036,0.15167764545141502,1674859393.8793,4293,4004,1674859393881.0,-0.019535006823946526,0.0044649986401932495,-0.01283500269790036,0.001674995922881615,0.0011149945190698574,-0.0016699999756058595
268.8955,64.23795,-133.945,370.63800000000003,-135.84300000000002,-133.387,0.11617563035147993,0.15391857583997526,1674859393.9161,4294,4005,1674859393914.3333,-0.015624997278025155,0.003348495914356543,-0.01171999997572568,0.0005599932007072185,-8.203105391572235e-09,-0.002230001342796813
268.281,64.40535,-134.336,370.6375000000001,-136.01,-133.499,0.1191825529564884,0.15136476623163758,1674859393.9491,4295,4006,1674859393947.6667,-0.016189994519249278,0.0033484959143564724,-0.011719999975725965,-0.0005600013305685794,-0.0027899945801247144,-0.0027899986084349965
267.6675,64.517,-134.838,370.6375000000001,-136.1215,-133.55450000000002,0.11838915814031173,0.147673262903196,1674859393.9822,4296,4007,1674859393981.0,-0.0172999972292173,0.0033489959155771957,-0.013390004052884088,-4.999975585421003e-06,-0.003344995935108726,-0.00278999860843528
267.0535,64.6286,-135.173,370.6935,-136.3455,-133.6105,0.1183823122707612,0.14828583907380266,1674859394.0153,4297,4008,1674859394014.3333,-0.018419999963599207,0.003906497276664678,-0.012280001342916633,0.0005550013916041117,-0.005025000036680734,-0.002234997253451269
266.774,64.68445,-135.34050000000002,370.6375000000001,-136.4565,-133.55450000000002,0.11981256240286538,0.1476732629031963,1674859394.0484,4298,4009,1674859394047.6667,-0.015070016320940849,0.0027910027234153436,-0.01004501225594927,4.101552435575902e-09,-0.0044650027710428355,-0.0005550054565364354
266.44,64.68445,-135.6755,370.6375000000001,-136.5125,-133.4985,0.11981256240286522,0.15067083690505198,1674859394.0814,4299,4010,1674859394081.0,-0.012275009497193875,0.0016744999975786365,-0.008375008178790862,4.101552435575902e-09,-0.003910001416058825,0.0005599972656385294
265.937,64.68445,-136.122,370.5265,-136.6245,-133.55450000000002,0.1198077955535454,0.1454418520894544,1674859394.1145,4300,4011,1674859394114.3333,-0.011165006787225854,0.0005584972729625106,-0.009490010900965544,-0.0016699999756056877,-0.002789998681677486,0.0005599972656382451
265.379,64.74025,-136.5685,370.4705,-136.79149999999998,-133.499,0.12203308367085483,0.14229762218163786,1674859394.1476,4301,4012,1674859394147.6667,-0.013949993188659521,0.0005579972754040304,-0.012279997277984865,-0.0016699999756068246,-0.003349995947315385,0.0005549972900525909
264.8765,64.85185,-136.959,370.5265,-136.79149999999998,-133.4985,0.12124556846314552,0.14844005949737582,1674859394.1807,4302,4013,1674859394181.0,-0.01563499730243904,0.0016740000000200143,-0.012834998632968877,-0.001109998608416155,-0.0027899945801247157,-4.064931420184996e-09
264.4865,64.90765,-137.35,370.5265,-136.8475,-133.44299999999998,0.12426309234107726,0.15143346604872768,1674859394.2137,4303,4014,1674859394214.3333,-0.014504994543643818,0.002232001362328077,-0.012279997277984865,4.101552435360756e-09,-0.0022299932129337618,0.0011149986572435448
264.1515,64.96345,-137.6845,370.63800000000003,-137.015,-133.3315,0.1220512731202435,0.15396968094696115,1674859394.2468,4304,4015,1674859394247.6667,-0.012275005432262393,0.002232001362327935,-0.011160002746708498,0.0016749959228816145,-0.002234993188519984,0.0016749959228814437
263.8725,65.07509999999999,-137.964,370.63800000000003,-137.015,-133.22,0.1228495429752034,0.15396280570211404,1674859394.2799,4305,4016,1674859394281.0,-0.010039999975706091,0.0022325013635486578,-0.01005000003674076,0.001114994555690945,-0.002234993188519984,0.0027849986328491814
